iter	Passed	Remaining
0	1	120
1	4	228
2	5	186
3	6	155
4	7	140
5	8	128
6	9	121
7	10	118
8	11	112
9	12	108
10	12	103
11	13	100
12	14	97
13	15	96
14	17	96
15	18	96
16	19	96
17	20	95
18	22	94
19	23	95
20	24	92
21	25	89
22	26	87
23	26	84
24	27	82
25	28	80
26	29	78
27	30	77
28	31	75
29	32	74
30	32	73
31	33	71
32	34	69
33	35	68
34	36	67
35	37	65
36	37	64
37	39	63
38	39	62
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	51	44
54	52	42
55	53	41
56	54	40
57	55	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	62	32
66	63	31
67	63	30
68	64	29
69	65	28
70	66	27
71	67	26
72	67	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
